"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 200","13,360.45","13,450.30","13,338.85","13,527.00","13,442.80","-","-84.20","-0.62","87,92,60,583","29,343.99","14,700.95","12,396.10","-3.43","-3.95"
"BSE","3,812.50","3,957.00","3,784.80","3,880.00","3,932.90","-","52.90","1.36","26,61,793","1,040.58","4,446.80","2,021.50","0.65","34.08"
"RELIANCE","1,277.00","1,282.60","1,273.50","1,291.00","1,275.50","-","-15.50","-1.20","73,10,432","933.38","1,611.80","1,273.50","-11.14","-11.65"
"HDFCBANK","738.00","741.50","736.60","747.05","739.25","-","-7.80","-1.04","1,19,46,751","882.63","1,020.50","726.65","-5.35","-25.29"
"TCS","2,170.00","2,177.00","2,144.10","2,198.90","2,170.70","-","-28.20","-1.28","38,99,350","843.30","3,538.00","2,144.10","-9.36","-35.87"
"WIPRO","193.39","193.89","185.14","198.37","185.58","-","-12.79","-6.45","4,31,41,735","810.03","273.10","185.14","-6.25","-25.36"
"SBIN","966.00","988.65","965.15","977.70","982.85","-","5.15","0.53","68,63,061","672.96","1,234.70","781.70","-3.58","20.88"
"ADANIENSOL","1,558.90","1,614.80","1,535.10","1,579.00","1,599.00","-","20.00","1.27","41,04,775","653.89","1,614.80","744.90","18.09","80.79"
"ICICIBANK","1,246.40","1,253.40","1,243.10","1,262.10","1,251.00","-","-11.10","-0.88","49,71,136","620.75","1,500.00","1,187.60","-1.10","-14.30"
"BHARTIARTL","1,775.10","1,812.00","1,771.00","1,798.20","1,812.00","-","13.80","0.77","32,20,885","579.76","2,174.50","1,740.50","-1.23","-3.12"
"INFY","1,177.50","1,200.70","1,176.50","1,197.50","1,195.40","-","-2.10","-0.18","46,61,574","554.62","1,728.00","1,089.00","1.36","-23.57"
"MCX","2,721.00","2,845.00","2,707.00","2,795.00","2,802.10","-","7.10","0.25","17,56,543","491.06","3,480.00","1,379.20","-9.56","88.85"
"ADANIPOWER","230.97","234.35","227.39","232.60","232.16","-","-0.44","-0.19","1,78,81,512","414.98","254.20","105.42","3.01","109.01"
"POWERINDIA","36,200.00","36,385.00","35,205.00","36,870.00","35,480.00","-","-1,390.00","-3.77","1,11,442","396.38","38,785.00","16,111.00","4.40","95.02"
"TATASTEEL","203.44","205.21","201.86","206.77","203.64","-","-3.13","-1.51","1,92,25,953","391.84","224.40","149.80","-5.07","29.29"
"ETERNAL","252.85","253.50","250.00","256.50","251.20","-","-5.30","-2.07","1,46,01,791","367.09","368.45","212.60","-2.04","-4.09"
"M&M","2,985.00","3,006.00","2,966.70","3,040.50","2,987.20","-","-53.30","-1.75","11,81,931","352.35","3,839.90","2,896.00","-10.29","-3.82"
"ADANIGREEN","1,500.60","1,522.90","1,494.00","1,525.70","1,517.20","-","-8.50","-0.56","23,02,751","348.02","1,532.50","765.00","11.90","48.91"
"LT","3,901.10","3,916.70","3,875.00","3,953.20","3,897.60","-","-55.60","-1.41","8,79,651","342.27","4,440.00","3,288.10","-1.93","6.61"
"IDEA","14.82","15.04","14.78","14.95","14.93","-","-0.02","-0.13","22,74,82,680","339.63","15.25","6.12","32.83","115.75"
"NTPC","358.95","365.00","355.15","361.65","364.65","-","3.00","0.83","90,13,500","326.58","414.40","315.55","-9.32","9.55"
